機種名,メーカー,導入月,号機,タイプ
パチスロ 戦姫絶唱シンフォギア 勇気の歌,SANKYO,2021年12月,6.2号機,AT
沖ドキ！DUO,アクロス,2021年12月,6.2号機,AT
沖ドキ！DUO-30,アクロス,2021年12月,6.2号機,AT、30Φ
秘宝伝～解き放たれた女神～,サボハニ,2021年12月,6.0号機,AT
うまい棒,アムテックス,2021年12月,6.0号機,ノーマル
S牙狼ー黄金騎士ー,サボハニ,2021年12月,6.2号機,AT
スターパルサー,山佐ネクスト,2021年12月,6.0号機,ノーマル
パチスロ モンスターハンター：ワールド™黄金狩猟,エンターライズ,2021年12月,6.2号機,AT
マイジャグラーV,北電子,2021年12月,6.0号機,ノーマル
主役は銭形3,平和,2021年12月,6.1号機,AT
泡盛,エレコ,2021年12月,6.1号機,ノーマル
Re:ゼロから始める異世界生活 Apex Vacation,サボハニ,2021年11月,6.1号機,A＋RT
パチスロ GANTZ極 THE SURVAIVAL GAME,エフ,2021年11月,6.2号機,AT
CCエンジェル,メーシー,2021年11月,6.1号機,A＋RT
ハイハイシオサイ2,パイオニア,2021年11月,6.0号機,ノーマル
パチスロANEMONE 交響詩篇エウレカセブン HI-EVOLUTION,ロデオ,2021年11月,6.2号機,AT
パチスロ戦国乙女 暁の関ヶ原-DARKNESS-,オリンピア,2021年11月,6.2号機,AT
SLOTタブー・タトゥー,ミズホ,2021年10月,6.1号機,AT
ニューパルサーDX3,山佐ネクスト,2021年10月,6.0号機,ノーマル
パチスロ かまいたちの夜,オーイズミ,2021年10月,6.1号機,A＋RT
パチスロツインエンジェル PARTY,サミー,2021年10月,6.1号機,A+AT
ファンキージャグラー2,北電子,2021年10月,6.0号機,ノーマル
HIT128,岡崎産業,2021年09月,6.0号機,AT
マジカルハロウィン~Trick or Treat!~,ファイトクラブ,2021年09月,6.2号機,A+ART
うしおととら 雷槍一閃,Daiichi,2021年09月,6.2号機,AT
パチスロ ロリクラ☆ほーるど！,DAXEL,2021年09月,6.1号機,AT
パチスロ楽園追放,ロデオ,2021年09月,6.1号機,AT
麻雀物語4,オリンピア,2021年09月,6.1号機,AT
GI優駿倶楽部3,KPE,2021年08月,6.1号機,AT
SLOT劇場版 魔法少女まどか☆マギカ[前編]始まりの物語／[後編]永遠の物語,ミズホ,2021年08月,6.1号機,AT
パチスロコードギアス 反逆のルルーシュ3,銀座,2021年08月,6.1号機,A+AT
もっと！ クレアの秘宝伝 女神の歌声と太陽の子供達,パオン・ディーピー,2021年08月,6.1号機,A＋RT
パチスロ東京レイヴンズ,オーイズミ,2021年07月,6.1号機,AT
パチスロ零,山佐ネクスト,2021年07月,6.1号機,AT
新ハナビ,エレコ,2021年07月,6.1号機,A＋RT
ノーゲーム・ノーライフ THE SLOT,北電子,2021年06月,6.1号機,AT
パチスロ 百花繚乱 サムライガールズ,エンターライズ,2021年06月,6.1号機,AT
パチスロガールズ＆パンツァー 劇場版,オリンピア,2021年06月,6.1号機,AT
パチスロガメラ,銀座,2021年06月,6.1号機,AT
パチスロ鉄拳4デビルVer.,セブンリーグ,2021年06月,6.1号機,AT
チバリヨ-30,オーゼキ,2021年05月,6.1号機,AT、30Φ
鬼浜爆走紅蓮隊 狂闘旅情編,ベルコ,2021年05月,6.1号機,AT
SLOTアルドノア・ゼロ,エレコ,2021年05月,6.1号機,AT
オリスロ4 PLUS,ジェイピーエス,2021年05月,6.0号機,ノーマル
パチスロ Wake UpGirls！Seven Memories,カルミナ,2021年05月,6.1号機,AT
豪炎高校應援團 檄,山佐ネクスト,2021年05月,6.1号機,AT
スーパーハナハナ,パイオニア,2021年04月,6.1号機,AT
スーパーハナハナ−30,パイオニア,2021年04月,6.1号機,AT、30Φ
デジスロ,ヤーマ,2021年04月,6.0号機,ノーマル
パチスロ マクロス デルタ,ジェイビー,2021年04月,6.1号機,AT
ぱちスロ 沖ハナ-30,オッケー.,2021年04月,6.1号機,AT、30Φ
パチスロAngel Beats!,タイヨーエレック,2021年04月,6.1号機,AT
ニューパルサーSP3,山佐ネクスト,2021年04月,6.0号機,ノーマル
絶対衝激3,スパイキー,2021年03月,6.1号機,AT
パチスロ アイドルマスター ミリオンライブ！,ビスティ,2021年03月,6.1号機,AT
パチスロ 青の祓魔師,オリンピア,2021年03月,6.0号機,AT
パチスロ北斗の拳 宿命,サミー,2021年03月,6.1号機,AT
ラブ嬢 2 プラス,オリンピア,2021年03月,6.1号機,AT
ワンチャンス 1000,ベルコ,2021年03月,6.1号機,AT
KING 黄門ちゃま,平和,2021年02月,6.1号機,AT
パチスロ ゴッドイーター ジ・アニメーション,セブンリーグ,2021年02月,6.1号機,AT
パチスロ バイオハザード7 レジデント イービル,アデリオン,2021年02月,6.1号機,AT
パチスロ フレームアームズ・ガール,ネット,2021年02月,6.1号機,AT
政宗３,大都技研,2021年02月,6.1号機,AT
S Lucky海物語,三洋物産,2021年01月,6.0号機,ノーマル
ニューハナハナゴールド-30,パイオニア,2021年01月,6.0号機,ノーマル、30Φ
パチスロ花の慶次〜武威,EXCITE,2021年01月,6.1号機,AT
パチスロ頭文字D,タイヨーエレック,2021年01月,6.1号機,A+AT
南国育ち-30,アムテックス,2021年01月,6.1号機,AT、30Φ
麻雀格闘倶楽部 真,コナミアミューズメント,2021年01月,6.1号機,AT
戦国乙女3〜天剣を継ぐもの〜,平和,2021年01月,6.0号機,AT
パチスロ 哲也 −天運地力−,ディ・ライト,2020年12月,6.1号機,AT
パチスロひぐらしのなく頃に祭2,オーイズミ,2020年12月,6.1号機,A+ART
アイムジャグラーEX,北電子,2020年12月,6.0号機,ノーマル
パチスロ モンスターハンター：ワールドTM,エンターライズ,2020年11月,6.1号機,AT
〜ガールズケイリン〜GIフェアリーグランプリ,コナミアミューズメント,2020年11月,6.1号機,AT
アカメが斬る！,七匠,2020年11月,6.0号機,AT
パチスロ七つの大罪,タイヨーエレック,2020年11月,6.1号機,AT
パチスロ学園黙示録ハイスクール・オブ・ザ・デッド ゴールド,セブンリーグ,2020年11月,6.1号機,AT
華祭(ハナマツリ),パイオニア,2020年11月,6.0号機,AT
回胴黙示録カイジ〜沼〜,銀座,2020年10月,6.0号機,AT
S笑ゥせぇるすまん 絶笑,サンスリー,2020年10月,6.1号機,AT
吉宗３,サボハニ,2020年10月,6.0号機,AT
PACHISLOT リングにかけろ1 ワールドチャンピオンカーニバル編,スパイキー,2020年09月,6.1号機,AT
対魔導学園35試験小隊,平和,2020年09月,6.0号機,AT
アナターのオット?はーです,ミズホ,2020年09月,6.1号機,AT
ハイパーブラックジャック,オーゼキ,2020年08月,6.1号機,AT
戦国コレクション4,コナミアミューズメント,2020年08月,6.1号機,AT
シャア専用パチスロ 逆襲の赤い彗星,ビスティ,2020年08月,6.0号機,AT
パチスロ真・北斗無双,サミー,2020年07月,6.0号機,AT
BLACK LAGOON4,スパイキー,2020年07月,6.0号機,AT
パチスロ壇蜜(パチスロ言い訳はさせないわよ!by壇蜜),ボーダー,2020年07月,6.0号機,ノーマル
ワンバーS-30,ベルコ,2020年07月,6.0号機,AT、30Φ
ハイドラ-30,カルミナ,2020年05月,6.0号機,AT、30Φ
ビッグシオ-30,パイオニア,2020年05月,6.0号機,AT、30Φ
沖ドキ！2-30,アクロス,2020年05月,6.0号機,AT、30Φ
Ｓパチスロダイナマイトキング極,ディ・ライト,2020年05月,6.0号機,AT
パチスロ モンキーターン4,山佐,2020年05月,6.0号機,AT
Sヤッターマン絶対正義,サンスリー,2020年05月,6.0号機,AT
サンダーVライトニング,アクロス,2020年04月,6.0号機,ノーマル
押忍！サラリーマン番長２,大都技研,2020年04月,6.0号機,AT
スナイパイ71,カルミナ,2020年04月,6.0号機,AT
パチスロ咲-Saki-,サンスリー,2020年04月,6.0号機,AT
新鬼武者〜DAWN OF DREAMS〜,エンターライズ,2020年03月,6.0号機,AT
スペリオーレ,バルテック,2020年03月,6.0号機,AT
パチスロ〈物語〉シリーズ セカンドシーズン,タイヨーエレック,2020年03月,6.0号機,AT
みうのおしゃべりパチスロ,岡崎産業,2020年03月,6.0号機,AT
Diamond(ダイヤモンド),ジェイピーエス,2020年03月,6.0号機,ノーマル
S地獄少女 あとはあなたが決めることよ,藤商事,2020年03月,6.0号機,AT
いろはに愛姫,パオン・ディーピー,2020年03月,6.0号機,A+ART
エヴァンゲリオン フェスティバル,ビスティ,2020年03月,6.0号機,AT
キングオブジャック,ベルコ,2020年03月,6.0号機,AT
パチスロ ケロット4,セブンリーグ,2020年03月,6.0号機,ノーマル
パチスロ ハナペカ,ニューギン,2020年03月,6.0号機,AT
パチスロ ファンタシースターオンライン2,銀座,2020年02月,6.0号機,AT
SLOTバジリスク〜甲賀忍法帖〜絆2,ミズホ,2020年02月,6.0号機,AT
青鬼,オリンピア,2020年02月,6.0号機,AT
スカイガールズ〜ゼロノツバサ〜,KPE,2020年01月,6.0号機,AT
探偵オペラ ミルキィホームズ １／２の奇跡,カルミナ,2020年01月,6.0号機,AT
花伝,アムテックス,2020年01月,6.0号機,AT
花伝-30,アムテックス,2020年01月,6.0号機,AT、30Φ
"Sリング,恐襲ノ連鎖",JFJ,2020年01月,6.0号機,AT
パチスロ1000ちゃん,オーイズミ,2020年01月,6.0号機,A+AT
Ｓ沖っ娘,サンセイアールアンドディ,2019年12月,6.0号機,AT
パチスロ交響詩篇エウレカセブン3 HI-EVOLUTION ZERO,サミー,2019年12月,6.0号機,AT
S喰霊‐零‐ 運命乱〜うんめいのみだれ〜,JFJ,2019年12月,6.0号機,AT
ドリームクルーン2,オーイズミ,2019年12月,6.0号機,AT
パチスロ トータル・イクリプス2,SANKYO,2019年12月,6.0号機,AT
マジカルハロウィン７,コナミアミューズメント,2019年12月,6.0号機,AT
ルパン三世 イタリアの夢,平和,2019年12月,6.0号機,AT
天下布武4,セブンリーグ,2019年12月,6.0号機,AT
パチスロ サラリーマン金太郎〜MAX〜,EXCITE,2019年11月,6.0号機,AT
パチスロ 蒼穹のファフナーEXODUS,ビスティ,2019年11月,6.0号機,AT
パチスロ北斗の拳 天昇,タイヨーエレック,2019年11月,6.0号機,AT
ＰＹＲＡＭＩＤ ＥＹＥ（ピラミッドアイ）,大都技研,2019年10月,6.0号機,ノーマル
S呪怨 再誕AT,藤商事,2019年10月,6.0号機,AT
プレドキ！,ジェイピーエス,2019年10月,6.0号機,AT
闘魂継承アントニオ猪木という名のパチスロ機,オリンピア,2019年10月,6.0号機,AT
S 南国娘 2,平和,2019年10月,6.0号機,AT
S 南国娘 2-30,アムテックス,2019年10月,6.0号機,AT、30Φ
カードバトルパチスロ ガンダム クロスオーバー,ビスティ,2019年10月,6.0号機,AT
ドラゴンホイール,コナミアミューズメント,2019年10月,6.0号機,AT
スーパービンゴギャラクシー,ベルコ,2019年09月,6.0号機,AT
パチスロ ラブ嬢2,オリンピア,2019年09月,6.0号機,AT
SLOT劇場版魔法少女まどか☆マギカ[新編]叛逆の物語,メーシー,2019年09月,6.0号機,AT
パチスロ TIGER & BUNNY,山佐,2019年09月,6.0号機,AT
OVER-SLOT｢AINZ OOAL GOWN絶対支配者光臨｣,オーイズミ,2019年08月,6.0号機,AT
どき！すろ,ジェイピーエス,2019年08月,6.0号機,AT
花娘,ジェイピーエス,2019年08月,6.0号機,AT
ハイハイシオサイ,パイオニア,2019年08月,6.0号機,ノーマル
パチスロ 天元突破グレンラガン,七匠,2019年08月,6.0号機,AT
パチスロあの日見た花の名前を僕達はまだ知らない。,サミー,2019年08月,6.0号機,AT
バンバンクロス,サボハニ,2019年08月,6.0号機,ノーマル
麻雀格闘倶楽部参,コナミアミューズメント,2019年08月,6.0号機,AT
パチスロ鉄拳4,山佐,2019年07月,6.0号機,AT
ガールズ&パンツァーG〜これが私の戦車道です！〜,オリンピア,2019年07月,6.0号機,AT
スーパードラゴン,ネット,2019年06月,6.0号機,AT
実況BINGO倶楽部,KPE,2019年06月,6.0号機,AT
超AT 美ら沖,七匠,2019年06月,6.0号機,AT
天晴！モグモグ風林火山 全国制覇版,ネット,2019年05月,6.0号機,AT
パチスロ ボンバーパワフル3,SANKYO,2019年05月,6.0号機,AT
SLOTギャラガ,メーシー,2019年04月,6.0号機,AT
黄門ちゃまV 女神盛-MEGAMORI-,オリンピア,2019年04月,6.0号機,AT
マイフラワー30,北電子,2019年04月,6.0号機,AT、30Φ
ドンちゃん2,アクロス,2019年04月,6.0号機,A＋RT
パチスロ猛獣王 王者の咆哮,サミー,2019年04月,6.0号機,AT
CTザクザク七福神,山佐,2019年03月,6.0号機,A＋CT
Re:ゼロから始める異世界生活,大都技研,2019年03月,6.0号機,AT
パチスロおそ松さん〜驚〜,ディ・ライト,2019年03月,6.0号機,AT
アナザーハナビ弥生ちゃん,ユニバーサルブロス,2019年02月,6.0号機,AT
GI優駿倶楽部2,コナミアミューズメント,2019年02月,6.0号機,AT
パチスロ ヱヴァンゲリヲンAT777,ビスティ,2019年02月,6.0号機,AT
ぱちスロ ゲッターロボ,京楽産業.,2019年01月,6.0号機,ノーマル
島漢 25Φ,平和,2019年01月,6.0号機,AT
島漢 30Φ,アムテックス,2019年01月,6.0号機,AT、30Φ
パチスロ聖闘士星矢 海皇覚醒Special,三洋物産,2019年01月,6.0号機,AT
パチスロ蒼天の拳 朋友,サミー,2019年01月,6.0号機,AT
パチスロ ロード オブ ヴァーミリオン Re:,七匠,2018年12月,6.0号機,AT
スーパーリノXX,山佐,2018年12月,6.0号機,ノーマル
戦コレ！［泰平女君］徳川家康,コナミアミューズメント,2018年11月,6.0号機,AT
パチスロチェインクロニクル,サミー,2018年11月,6.0号機,AT
ＨＥＹ！鏡,大都技研,2018年10月,6.0号機,AT
